track_id,track_name,track_artist,track_popularity,release_year,genre
4iXOdnIBM90SxELqJry6AX,Latin Simone (Que Pasa Contigo),Gorillaz,38,2001,Latin
3YBLqJHSLsk28iqfsNji7m,Latina,Larray,32,2020,Latin
1dyA1Re4QEQQWGDDT7h9TK,Flores,LATIN MAFIA,66,2023,Latin
5ZYc494Yhj18o8nbG777LV,I <3 LATINAS,Odetari,59,2023,Latin
1SvZCgcNyuRS7hgdqHphE0,The Latin Quarter,Satoshi Takebe,47,2011,Latin
40cQ5LHl5s6SN98Hzn5Mbh,LATIN INTEREST,Lumi Athena,42,2024,Latin
2t50tC9s0OBr7b1bRlKqz2,Latin Industries,Kevin MacLeod,34,2014,Latin
1Tke6x5RyPYeum39mfEsoG,Latino,Fabiø Guerra,23,2020,Latin
1ZunPTRc0PUFfdSWa3qMB1,Yo siempre contesto.,LATIN MAFIA,66,2024,Latin
1TWAUx1pXxA5XxJmHMGT0b,Sal rosa,LATIN MAFIA,64,2022,Latin
4UcnP64mbjBbjSDgSv5YYT,pero me estoy acabando.,LATIN MAFIA,62,2024,Latin
68HZeyktDHYYYwZiMoAhMx,Mala buena suerte,LATIN MAFIA,64,2022,Latin
32u1f3KGImI15xe4B1eGuu,Ciudad de las Luces,LATIN MAFIA,65,2021,Latin
7Au2gtgpcNabavGERVOvWE,Latin,ANGEL BIONICO,25,2024,Latin
6J53VAHFT1iKYAlzppZXBn,nunca he sido honesto.,LATIN MAFIA,63,2024,Latin
3ygyBRR1YRqwyuLFswzEmE,Latin,Rasmus Stone,16,2024,Latin
0gELGDQ3XTZUdFQ6GAyCkA,Continuo Atardecer,LATIN MAFIA,64,2022,Latin
6ZaQlkrjqaCuxM87kwLcA3,Latin,Oleg Kirilkov,18,2020,Latin
73R3ZGNODH8sl1oRtdGVl1,y como te digo que,LATIN MAFIA,64,2024,Latin
6JHgkfhDIQu1Ez2f8wgGDh,Latin,Mastiksoul,21,2019,Latin
2XfWWZqfTpNmZdmVgsmqKZ,Más humano,LATIN MAFIA,65,2021,Latin
66y1zHWM5L7YT7D9cV75om,Latin,Franklin Cumberland,24,2023,Latin
4zEyzrSanINuxNfGadjw5B,Latin,Mike Oldfield,19,2004,Latin
6RpkUBv1KKsJBWf3gmQ1R9,Latinos,Proyecto Uno,49,1998,Latin
37rgxxMgvIHokgTADoRVEY,Latin,Singularis,2,2024,Latin
42vbEzjsHfl1BlalW13VMF,Latin,Zélé,17,2020,Latin
6Fh0xf6gIgBJ5FyjAZmmI8,LATINA,Al James,61,2019,Latin
40KhzFhbzAsp6Hnd22x3xM,Latin,Stephan,1,2018,Latin
0G5aMSxfODpfpGaDIwOnAx,Latin,Wade Wilson,1,2021,Latin
06QTfbiMgQvh8gXQPlfC8J,Persona Favorita,Jesse Baez,62,2024,Latin
1vZSorJWztCrtzoQhAIdwH,Latin,LOFI 101,0,2023,Latin
1TMWjPjpQGU9t4PfLQ0qJS,"sentado aquí,",LATIN MAFIA,61,2024,Latin
77DWpJNrzy3xW9tisabHJ5,Latin,Tonydrumer,1,2021,Latin
1o2D4uroeEIb4xLVcBHT6P,Siento que merezco más - A COLORS SHOW,LATIN MAFIA,61,2025,Latin
4JRPlNsfV9AoMC5q8PbLV9,Latin,Prince Davinci,1,2023,Latin
6dXjUMjFxfAX4F2dHKqQzf,Rock,Stepz,77,2024,Rock
2EjXfH91m7f8HiJN1yQg97,Rockin' Around The Christmas Tree,Brenda Lee,86,1964,Rock
1TE8AAk9koG0UJco6ZAUfx,Rock and A Hard Place,Bailey Zimmerman,79,2023,Rock
2Q5wSOwq6BDSu7sSVMNrtT,Rock Lobster,The B-52's,59,1979,Rock
6YOfGIE6iFxC7G8OlGGvzW,ROCKSTAR,Junior H,83,2023,Rock
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),DaBaby,73,2020,Rock
1AWQoqb9bSvzTjaLralEkT,Rock Your Body,Justin Timberlake,78,2002,Rock
30UFKKWSOC2Xr6KfWcyvsI,ROCKSTAR (feat. Roddy Ricch),DaBaby,52,2020,Rock
3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,80,1972,Rock
6vvPecFTmWxDfEJ6cYT1wa,Rockstar,LISA,80,2024,Rock
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),Post Malone,80,2018,Rock
7oOOI85fVQvVnK5ynNMdW7,Rock with You - Single Version,Michael Jackson,77,1979,Rock
3fvY2U1AzW0diYF0hnBbKt,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,59,2018,Rock
6n9yCXvLhnYMgJIiIcMu7D,Rockstar,Nickelback,62,2005,Rock
7sdHMJvhKib3ReVPsZFbrf,Rock N Roll,Ken Carson,70,2021,Rock
0iAo4mljj6d6Lr2jwexEpa,Rock Lobster - Live,The B-52's,48,2018,Rock
6dBUzqjtbnIa1TwYbyw5CM,Lovers Rock,TV Girl,85,2014,Rock
19bX4zmC2zDben2ldhoRB3,rockstar,Post Malone,53,2018,Rock
05tlUh0E6IFks9sCQguQKN,Rockstar - 2020 Remaster,Nickelback,70,2005,Rock
1qzY5ylnKRI3RzkMfEfBcb,Rocky Theme,Gonna Fly Now,47,2014,Rock
45sDIKapDyxPl307QpEAwl,Rocketeer,Far East Movement,65,2010,Rock
